backend,latency,recall_at_k,mrr,ndcg,rougeL
milvus,0.26354817910627887,1.0,0.9393939393939394,0.9400643103307512,0.16131004848628486
solr,0.13678021864457565,1.0,0.893939393939394,0.9209936139610416,0.0026270630447430355
